Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Stephen Curry,10.4,21.7,5.7,6.3,5.3,5.5,5.8,1.2,0.1,3.4,32.0,34.2,63.0,PG,,['PG']
Bradley Beal,11.2,23.0,6.8,7.7,2.2,4.7,4.4,1.2,0.4,3.1,31.3,35.8,60.0,SG,,['SG']
Damian Lillard,9.0,19.9,6.7,7.2,4.1,4.2,7.5,0.9,0.3,3.0,28.8,35.8,67.0,PG,,['PG']
Joel Embiid,9.0,17.6,9.2,10.7,1.1,10.6,2.8,1.0,1.4,3.1,28.5,31.1,51.0,C,,['C']
Giannis Antetokounmpo,10.3,18.0,6.5,9.5,1.1,11.0,5.9,1.2,1.2,3.4,28.1,33.0,61.0,PF,,['PF']
Luka DonÄiÄ,9.8,20.5,5.2,7.1,2.9,8.0,8.6,1.0,0.5,4.3,27.7,34.3,66.0,PG,,['PG']
Zach LaVine,9.8,19.4,4.4,5.1,3.4,5.0,4.9,0.8,0.5,3.5,27.4,35.1,58.0,SG,,['SG']
Zion Williamson,10.4,17.0,6.0,8.7,0.2,7.2,3.7,0.9,0.6,2.7,27.0,33.2,61.0,PF,,['PF']
Kevin Durant,9.3,17.2,6.0,6.8,2.4,7.1,5.6,0.7,1.3,3.4,26.9,33.1,35.0,PF,,['PF']
Kyrie Irving,10.2,20.1,3.7,4.0,2.8,4.8,6.0,1.4,0.7,2.4,26.9,34.9,54.0,PG,,['PG']
Nikola JokiÄ,10.2,18.0,4.8,5.5,1.3,10.8,8.3,1.3,0.7,3.1,26.4,34.6,72.0,C,,['C']
Donovan Mitchell,9.0,20.6,5.0,6.0,3.4,4.4,5.2,1.0,0.3,2.8,26.4,33.4,53.0,PG,,['PG']
Jayson Tatum,9.5,20.6,4.6,5.3,2.9,7.4,4.3,1.2,0.5,2.7,26.4,35.8,64.0,SF,,['SF']
Devin Booker,9.3,19.2,5.1,5.9,1.9,4.2,4.3,0.8,0.2,3.1,25.6,33.9,67.0,SG,,['SG']
Trae Young,7.7,17.7,7.7,8.7,2.2,3.9,9.4,0.8,0.2,4.1,25.3,33.7,63.0,PG,,['PG']
De'Aaron Fox,9.1,19.1,5.2,7.2,1.8,3.5,7.2,1.5,0.5,3.0,25.2,35.1,58.0,PG,,['PG']
LeBron James,9.4,18.3,4.0,5.7,2.3,7.7,7.8,1.1,0.6,3.7,25.0,33.4,45.0,PG,,['PG']
Kawhi Leonard,8.9,17.5,5.0,5.7,1.9,6.5,5.2,1.6,0.4,2.0,24.8,34.1,52.0,SF,,['SF']
Karl-Anthony Towns,8.5,17.5,5.3,6.2,2.4,10.6,4.5,0.8,1.1,3.2,24.8,33.8,50.0,C,,['C']
Jaylen Brown,9.3,19.2,3.3,4.3,2.8,6.0,3.4,1.2,0.6,2.7,24.7,34.5,58.0,SG,,['SG']
James Harden,7.8,16.7,6.3,7.3,2.8,7.9,10.8,1.2,0.8,4.0,24.6,36.6,44.0,PG,,['PG']
James Harden,7.5,16.9,6.6,7.5,3.1,5.1,10.4,0.9,0.8,4.3,24.8,36.3,8.0,PG,,['PG']
James Harden,7.8,16.6,6.3,7.3,2.7,8.5,10.9,1.3,0.8,4.0,24.6,36.6,36.0,PG,,['PG']
Collin Sexton,8.8,18.4,5.2,6.4,1.6,3.1,4.4,1.0,0.2,2.8,24.3,35.3,60.0,SG,,['SG']
Julius Randle,8.5,18.6,4.9,6.0,2.3,10.2,6.0,0.9,0.3,3.4,24.1,37.6,71.0,PF,,['PF']
Brandon Ingram,8.4,18.0,4.6,5.2,2.3,4.9,4.9,0.7,0.6,2.5,23.8,34.3,61.0,SF,,['SF']
Shai Gilgeous-Alexander,8.2,16.1,5.3,6.5,2.0,4.7,5.9,0.8,0.7,3.0,23.7,33.7,35.0,SG,,['SG']
Nikola VuÄeviÄ,9.5,19.9,1.9,2.2,2.5,11.7,3.8,0.9,0.7,1.8,23.4,33.5,70.0,C,,['C']
Nikola VuÄeviÄ,9.9,20.6,2.1,2.5,2.7,11.8,3.8,1.0,0.6,1.9,24.5,34.1,44.0,C,,['C']
Nikola VuÄeviÄ,8.8,18.8,1.5,1.8,2.3,11.5,3.9,0.9,0.8,1.7,21.5,32.6,26.0,C,,['C']
Paul George,8.2,17.6,3.7,4.2,3.2,6.6,5.2,1.1,0.4,3.3,23.3,33.7,54.0,SF,,['SF']
CJ McCollum,8.6,18.8,2.3,2.8,3.6,3.9,4.7,0.9,0.4,1.4,23.1,34.0,47.0,SG,,['SG']
Jerami Grant,7.4,17.3,5.4,6.4,2.1,4.6,2.8,0.6,1.1,2.0,22.3,33.9,54.0,SF,,['SF']
Russell Westbrook,8.4,19.0,4.2,6.4,1.3,11.5,11.7,1.4,0.4,4.8,22.2,36.4,65.0,PG,,['PG']
Anthony Davis,8.4,17.0,4.4,5.9,0.7,7.9,3.1,1.3,1.6,2.1,21.8,32.3,36.0,PF,,['PF']
DeMar DeRozan,7.5,15.1,6.3,7.2,0.3,4.2,6.9,0.9,0.2,2.0,21.6,33.7,61.0,PF,,['PF']
Jimmy Butler,7.0,14.2,6.9,8.0,0.5,6.9,7.1,2.1,0.3,2.1,21.5,33.6,52.0,SF,,['SF']
Pascal Siakam,7.8,17.2,4.4,5.4,1.3,7.2,4.5,1.1,0.7,2.3,21.4,35.8,56.0,PF,,['PF']
Malcolm Brogdon,7.9,17.5,2.7,3.2,2.6,5.3,5.9,0.9,0.3,2.1,21.2,34.5,56.0,PG,,['PG']
Jamal Murray,7.9,16.5,2.8,3.2,2.7,4.0,4.8,1.3,0.3,2.3,21.2,35.5,48.0,PG,,['PG']
Christian Wood,8.0,15.6,3.0,4.8,1.9,9.6,1.7,0.8,1.2,2.0,21.0,32.3,41.0,C,,['C']
John Wall,7.3,18.2,4.0,5.3,2.0,3.2,6.9,1.1,0.8,3.5,20.6,32.2,40.0,PG,,['PG']
Khris Middleton,7.5,15.8,3.1,3.5,2.2,6.0,5.4,1.1,0.1,2.6,20.4,33.4,68.0,SF,,['SF']
Terry Rozier,7.4,16.4,2.4,2.9,3.2,4.4,4.2,1.3,0.4,1.9,20.4,34.5,69.0,SG,,['SG']
Domantas Sabonis,7.8,14.6,3.9,5.3,0.8,12.0,6.7,1.2,0.5,3.4,20.3,36.0,62.0,PF,,['PF']
Caris LeVert,7.6,17.3,3.1,3.8,1.8,4.6,5.2,1.4,0.6,2.2,20.2,31.6,47.0,SG,,['SG']
Caris LeVert,7.3,16.7,2.2,2.8,1.8,4.3,6.0,1.1,0.5,2.2,18.5,27.8,12.0,SG,,['SG']
Caris LeVert,7.8,17.5,3.4,4.2,1.8,4.6,4.9,1.5,0.7,2.2,20.7,32.9,35.0,SG,,['SG']
Kristaps PorziÅÄ£is,7.6,15.9,2.7,3.2,2.3,8.9,1.6,0.5,1.3,1.2,20.1,30.9,43.0,C,,['C']
Victor Oladipo,7.1,17.5,3.2,4.2,2.4,4.8,4.6,1.4,0.4,2.5,19.8,32.7,33.0,SG,,['SG']
Victor Oladipo,7.1,16.9,3.0,4.1,2.8,5.7,4.2,1.7,0.2,2.0,20.0,33.3,9.0,SG,,['SG']
Victor Oladipo,7.8,19.1,3.3,4.2,2.5,4.8,5.0,1.2,0.5,2.6,21.2,33.5,20.0,SG,,['SG']
Victor Oladipo,4.0,10.8,3.0,4.5,1.0,3.5,3.5,1.8,0.5,3.5,12.0,27.8,4.0,SG,,['SG']
Malik Beasley,7.1,16.2,1.8,2.2,3.5,4.4,2.4,0.8,0.2,1.6,19.6,32.8,37.0,SG,,['SG']
Gordon Hayward,7.1,15.0,3.5,4.2,1.9,5.9,4.1,1.2,0.3,2.1,19.6,34.0,44.0,SF,,['SF']
Fred VanVleet,6.5,16.7,3.3,3.7,3.3,4.2,6.3,1.7,0.7,1.8,19.6,36.5,52.0,SG,,['SG']
Tobias Harris,7.6,14.9,2.9,3.3,1.3,6.8,3.5,0.9,0.8,1.7,19.5,32.5,62.0,PF,,['PF']
Anthony Edwards,7.0,16.8,2.9,3.8,2.4,4.7,2.9,1.1,0.5,2.2,19.3,32.1,72.0,SG,,['SG']
Kemba Walker,6.6,15.7,3.1,3.5,3.0,4.0,4.9,1.1,0.3,2.0,19.3,31.8,43.0,PG,,['PG']
Ja Morant,6.8,15.2,4.3,5.9,1.2,4.0,7.4,0.9,0.2,3.2,19.1,32.6,63.0,PG,,['PG']
Michael Porter Jr.,7.3,13.4,1.7,2.2,2.8,7.3,1.1,0.7,0.9,1.3,19.0,31.3,61.0,SF,,['SF']
D'Angelo Russell,6.7,15.5,2.7,3.5,2.9,2.6,5.8,1.1,0.4,2.7,19.0,28.5,42.0,PG,,['PG']
Bam Adebayo,7.1,12.5,4.4,5.5,0.0,9.0,5.4,1.2,1.0,2.6,18.7,33.5,64.0,C,,['C']
Norman Powell,6.3,13.3,3.4,3.9,2.5,3.1,1.9,1.2,0.3,1.7,18.6,32.0,69.0,SG,,['SG']
Norman Powell,6.7,13.5,3.4,3.9,2.8,3.0,1.8,1.1,0.2,1.8,19.6,30.4,42.0,SG,,['SG']
Norman Powell,5.8,13.0,3.5,4.0,2.0,3.3,1.9,1.3,0.4,1.6,17.0,34.4,27.0,SF,,['SF']
Andrew Wiggins,7.1,14.9,2.4,3.4,2.0,4.9,2.4,0.9,1.0,1.8,18.6,33.3,71.0,PF,,['PF']
Jordan Clarkson,6.7,15.8,1.9,2.1,3.1,4.0,2.5,0.9,0.1,1.7,18.4,26.7,68.0,SG,,['SG']
Eric Gordon,5.9,13.6,3.5,4.2,2.6,2.1,2.6,0.5,0.5,1.9,17.8,29.2,27.0,SG,,['SG']
Jrue Holiday,7.0,13.9,1.8,2.3,1.9,4.5,6.1,1.6,0.6,2.2,17.7,32.3,59.0,PG,,['PG']
RJ Barrett,6.5,14.7,2.9,3.8,1.7,5.8,3.0,0.7,0.3,1.9,17.6,34.9,72.0,SG,,['SG']
John Collins,6.8,12.2,2.7,3.2,1.3,7.4,1.2,0.5,1.0,1.3,17.6,29.3,63.0,PF,,['PF']
Darius Garland,6.7,14.9,2.1,2.4,1.9,2.4,6.1,1.2,0.1,3.0,17.4,33.1,54.0,PG,,['PG']
Dillon Brooks,6.4,15.4,2.4,2.9,1.9,2.9,2.3,1.2,0.4,1.8,17.2,29.8,67.0,SF,,['SF']
Kyle Lowry,5.7,13.0,3.0,3.5,2.8,5.4,7.3,1.0,0.3,2.7,17.2,34.8,46.0,PG,,['PG']
Evan Fournier,5.9,12.9,2.6,3.3,2.8,3.0,3.4,1.1,0.5,1.7,17.1,30.0,42.0,SF,,['SF']
Evan Fournier,6.5,14.2,3.8,4.7,2.8,2.9,3.7,1.0,0.3,2.1,19.7,30.3,26.0,SF,,['SF']
Evan Fournier,4.8,10.8,0.6,0.9,2.8,3.3,3.1,1.3,0.6,1.2,13.0,29.5,16.0,SF,,['SF']
Jonas ValanÄiÅ«nas,7.1,12.0,2.5,3.3,0.3,12.5,1.8,0.6,0.9,1.6,17.1,28.3,62.0,C,,['C']
Bojan BogdanoviÄ,5.6,12.8,3.2,3.7,2.5,3.9,1.9,0.6,0.1,1.8,17.0,30.8,72.0,SF,,['SF']
