Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Joel Embiid,9.8,19.6,9.6,11.8,1.4,11.7,4.2,1.1,1.5,3.1,30.6,33.8,68.0,C,,joel embiid,['C']
LeBron James,11.4,21.8,4.5,6.0,2.9,8.2,6.2,1.3,1.1,3.5,30.3,37.2,56.0,C,,lebron james,['C']
Giannis Antetokounmpo,10.3,18.6,8.3,11.4,1.1,11.6,5.8,1.1,1.4,3.3,29.9,32.9,67.0,PF,,giannis antetokounmpo,['PF']
Kevin Durant,10.5,20.3,6.8,7.4,2.1,7.4,6.4,0.9,0.9,3.5,29.9,37.2,55.0,PF,,kevin durant,['PF']
Luka Dončić,9.9,21.6,5.6,7.5,3.1,9.1,8.7,1.2,0.6,4.5,28.4,35.4,65.0,PG,,luka doncic,['PG']
Trae Young,9.4,20.3,6.6,7.3,3.1,3.7,9.7,0.9,0.1,4.0,28.4,34.9,76.0,PG,,trae young,['PG']
DeMar DeRozan,10.2,20.2,6.8,7.8,0.7,5.2,4.9,0.9,0.3,2.4,27.9,36.1,76.0,PF,,demar derozan,['PF']
Kyrie Irving,10.0,21.2,4.1,4.4,3.4,4.4,5.8,1.4,0.6,2.5,27.4,37.6,29.0,PG,,kyrie irving,['PG']
Ja Morant,10.2,20.6,5.5,7.3,1.5,5.7,6.7,1.2,0.4,3.4,27.4,33.1,57.0,PG,,ja morant,['PG']
Nikola Jokić,10.3,17.7,5.1,6.3,1.3,13.8,7.9,1.5,0.9,3.8,27.1,33.5,74.0,C,,nikola jokic,['C']
Jayson Tatum,9.3,20.6,5.3,6.2,3.0,8.0,4.4,1.0,0.6,2.9,26.9,35.9,76.0,SF,,jayson tatum,['SF']
Devin Booker,9.7,20.9,4.6,5.3,2.7,5.0,4.8,1.1,0.4,2.4,26.8,34.5,68.0,SG,,devin booker,['SG']
Donovan Mitchell,9.2,20.5,4.0,4.7,3.5,4.2,5.3,1.5,0.2,3.0,25.9,33.8,67.0,SG,,donovan mitchell,['SG']
Stephen Curry,8.4,19.1,4.3,4.7,4.5,5.2,6.3,1.3,0.4,3.2,25.5,34.5,64.0,PG,,stephen curry,['PG']
Karl-Anthony Towns,8.7,16.4,5.2,6.3,2.0,9.8,3.6,1.0,1.1,3.1,24.6,33.5,74.0,C,,karl anthony towns,['C']
Shai Gilgeous-Alexander,8.5,18.8,5.9,7.2,1.6,5.0,5.9,1.3,0.8,2.8,24.5,34.7,56.0,PG,,shai gilgeous alexander,['PG']
Zach LaVine,8.4,17.7,4.8,5.6,2.8,4.6,4.5,0.6,0.3,2.6,24.4,34.7,67.0,SG,,zach lavine,['SG']
Paul George,8.6,20.5,4.1,4.8,2.9,6.9,5.7,2.2,0.4,4.1,24.3,34.7,31.0,PF,,paul george,['PF']
Damian Lillard,7.7,19.0,5.5,6.2,3.2,4.1,7.3,0.6,0.4,2.9,24.0,36.4,29.0,PG,,damian lillard,['PG']
